frame,sign,kx,ky,sbxframe
0,1,-3,4,128
15,-1,-11,7,132
30,-1,-8,9,136
45,-1,-10,11,140
60,1,6,-6,144
75,1,-1,5,148
90,-1,-11,8,152
105,1,5,2,156
120,1,-4,7,159
135,-1,-9,5,163
150,-1,3,-8,167
165,-1,-5,5,171
180,-1,-12,11,175
195,-1,6,-7,179
210,1,8,11,183
225,-1,-1,-12,186
240,1,6,7,190
255,1,11,12,194
270,-1,-8,-6,198
285,-1,5,-8,202
300,1,11,-5,206
315,-1,12,6,210
330,1,2,-10,214
345,-1,2,10,217
360,-1,8,-3,221
375,-1,-1,-7,225
390,1,-4,5,229
405,1,-10,1,233
420,-1,-4,-3,237
435,1,1,6,241
450,-1,6,5,245
465,-1,10,12,248
480,1,11,-12,252
495,-1,-12,-5,256
510,1,1,3,260
525,-1,-12,-10,264
540,1,3,-1,268
555,1,-5,-7,272
570,-1,-10,4,275
585,1,8,9,279
600,-1,-7,-11,283
615,-1,-1,-12,287
630,1,3,5,291
645,1,4,-4,295
660,1,5,-3,299
675,1,-8,6,303
690,-1,-10,12,306
705,-1,-9,0,310
720,1,-8,7,314
735,-1,3,2,318
750,1,-4,4,322
765,1,-10,-6,326
780,1,-9,0,330
795,-1,1,-10,333
810,-1,-2,-1,337
825,-1,0,-9,341
840,-1,-6,10,345
855,1,-8,-10,349
870,-1,2,7,353
885,1,-2,9,357
900,-1,-9,-6,361
915,1,5,6,364
930,1,3,1,368
945,1,-5,-10,372
960,1,-11,12,376
975,-1,8,-4,380
990,1,0,5,384
1005,-1,-11,-7,388
1020,-1,7,-11,391
1035,-1,-3,-9,395
1050,1,11,-4,399
1065,1,3,-9,403
1080,1,-1,4,407
1095,-1,-7,-1,411
1110,1,-9,-11,415
1125,-1,-12,-10,419
1140,1,-10,-12,422
1155,1,11,-7,426
1170,-1,6,-7,430
1185,1,10,2,434
1200,-1,-6,12,438
1215,1,-10,11,442
1230,1,-4,12,446
1245,1,3,11,449
1260,-1,4,5,453
1275,1,-1,0,457
1290,1,0,0,461
1305,1,-6,-5,465
1320,1,1,2,469
1335,-1,-5,5,473
1350,-1,3,2,477
1365,1,4,-1,480
1380,-1,9,-6,484
1395,1,-5,-8,488
1410,1,-7,7,492
1425,1,1,1,496
1440,1,3,-11,500
1455,1,1,3,504
1470,1,12,-11,508
1485,-1,3,9,511
1500,1,-10,9,515
1515,-1,6,10,519
1530,-1,12,-12,523
1545,-1,5,-6,527
1560,-1,-7,-6,531
1575,1,5,8,535
1590,-1,-3,-5,538
1605,1,-12,6,542
1620,-1,12,11,546
1635,1,11,-2,550
1650,-1,11,-8,554
1665,1,-9,6,558
1680,-1,-3,-5,562
1695,1,-1,-1,566
1710,1,4,2,569
1725,-1,8,5,573
1740,1,11,-11,577
1755,-1,6,-2,581
1770,-1,-7,7,585
1785,-1,9,0,589
1800,1,6,-5,593
1815,1,1,-12,596
1830,1,0,12,600
1845,1,12,-8,604
1860,1,-5,-5,608
1875,1,-6,-1,612
1890,-1,0,4,616
1905,-1,3,2,620
1920,-1,-12,5,624
1935,-1,-6,-6,627
1950,-1,-4,5,631
1965,1,-8,11,635
1980,1,-8,-4,639
1995,-1,-8,-9,643
2010,-1,0,10,647
2025,1,-4,-6,651
2040,-1,10,-12,654
2055,-1,-7,-4,658
2070,1,-12,9,662
2085,1,-3,5,666
2100,1,11,-3,670
2115,-1,9,7,674
2130,1,-12,-12,678
2145,-1,11,-11,682
2160,1,2,2,685
2175,-1,-4,-6,689
2190,1,7,5,693
2205,-1,-7,11,697
2220,1,3,6,701
2235,-1,12,8,705
2250,-1,-11,1,709
2265,-1,-4,10,712
2280,1,5,-11,716
2295,1,4,3,720
2310,1,-4,-8,724
2325,-1,3,-3,728
2340,-1,9,-12,732
2355,-1,5,-10,736
2370,-1,3,7,740
2385,-1,5,-9,743
2400,1,1,10,747
2415,1,-1,-4,751
2430,1,-4,7,755
2445,1,7,9,759
2460,1,6,9,763
2475,-1,8,2,767
2490,1,6,0,770
2505,1,-10,5,774
2520,1,12,-6,778
2535,-1,2,3,782
2550,1,-9,-11,786
2565,1,-1,-6,790
2580,1,-11,3,794
2595,1,-4,10,798
2610,-1,-2,10,801
2625,1,-5,11,805
2640,-1,-11,-11,809
2655,-1,6,-11,813
2670,-1,0,8,817
2685,1,-3,8,821
2700,1,-11,1,825
2715,1,-12,7,829
2730,-1,3,-11,832
2745,1,5,11,836
2760,-1,8,-5,840
2775,-1,-12,7,844
2790,-1,6,-3,848
2805,-1,-2,-2,852
2820,1,12,-4,856
2835,1,-4,-11,859
2850,-1,8,-9,863
2865,1,8,0,867
2880,1,3,6,871
2895,-1,3,-7,875
2910,1,1,12,879
2925,1,3,-6,883
2940,-1,-5,2,887
2955,1,-8,4,890
2970,-1,-1,2,894
2985,-1,-9,10,898
3000,-1,9,1,902
3015,-1,4,-12,906
3030,-1,-2,-5,910
3045,1,-2,-4,914
3060,-1,-12,12,917
3075,1,-11,-1,921
3090,-1,-4,-5,925
3105,-1,-7,8,929
3120,-1,-7,8,933
3135,-1,-11,-3,937
3150,1,9,-11,941
3165,-1,-5,-6,945
3180,1,-3,-5,948
3195,-1,-9,2,952
3210,-1,0,-2,956
3225,1,-5,10,960
3240,1,11,-11,964
3255,-1,2,5,968
3270,-1,2,-7,972
3285,1,-7,5,975
3300,-1,-11,-1,979
3315,-1,4,-7,983
3330,1,1,10,987
3345,1,10,7,991
3360,1,1,-2,995
3375,1,-12,-4,999
3390,-1,10,-3,1003
3405,-1,-12,11,1006
3420,1,-6,-9,1010
3435,1,12,-6,1014
3450,-1,-6,-5,1018
3465,-1,-5,1,1022
3480,1,2,2,1026
3495,1,11,10,1030
3510,-1,-6,-2,1033
3525,1,5,-4,1037
3540,-1,8,7,1041
3555,-1,-12,-1,1045
3570,-1,-7,-7,1049
3585,1,-11,9,1053
3600,1,9,-7,1057
3615,1,5,-3,1061
3630,1,12,-8,1064
3645,-1,4,-11,1068
3660,1,6,-8,1072
3675,1,1,-4,1076
3690,-1,11,1,1080
3705,1,5,9,1084
3720,-1,-4,10,1088
