frame,sign,kx,ky,sbxframe
0,1,-11,-8,128
15,-1,11,4,132
30,-1,-7,-6,135
45,-1,7,-11,139
60,-1,-4,2,143
75,-1,10,3,147
90,-1,-1,-12,151
105,1,-2,7,155
120,1,7,-12,159
135,1,-4,3,162
150,1,3,-11,166
165,-1,-8,-7,170
180,1,-1,11,174
195,-1,6,12,178
210,1,-7,-11,182
225,-1,-11,2,186
240,1,1,9,190
255,-1,6,-1,193
270,-1,-12,-6,197
285,1,10,-6,201
300,1,-2,-6,205
315,1,-8,8,209
330,1,-5,8,213
345,-1,5,-9,217
360,-1,9,-3,220
375,1,1,6,224
390,-1,-2,5,228
405,1,-1,-10,232
420,1,2,4,236
435,1,0,-9,240
450,1,5,-6,244
465,1,3,-3,248
480,-1,12,-4,251
495,-1,-2,-9,255
510,-1,10,-9,259
525,1,9,4,263
540,-1,-10,-1,267
555,-1,-11,-5,271
570,-1,-11,-1,275
585,-1,8,-6,279
600,1,6,-2,282
615,1,2,-5,286
630,1,-3,2,290
645,1,-6,9,294
660,1,10,2,298
675,-1,-11,-9,302
690,-1,5,1,306
705,-1,12,-6,309
720,-1,9,6,313
735,1,2,-6,317
750,-1,6,11,321
765,-1,3,-6,325
780,1,-8,-4,329
795,1,9,10,333
810,1,11,-8,337
825,1,-7,1,340
840,-1,8,2,344
855,-1,-1,7,348
870,1,-7,5,352
885,1,-5,6,356
900,1,8,-9,360
915,-1,2,-6,364
930,-1,-12,-6,367
945,-1,2,4,371
960,1,12,-5,375
975,-1,-6,-2,379
990,1,5,2,383
1005,-1,-4,-7,387
1020,-1,8,-8,391
1035,-1,-6,0,395
1050,-1,-10,8,398
1065,1,12,12,402
1080,-1,-6,7,406
1095,-1,-3,12,410
1110,1,9,-1,414
1125,-1,10,12,418
1140,-1,0,11,422
1155,1,7,-3,425
1170,-1,-3,-4,429
1185,-1,-12,4,433
1200,1,-8,5,437
1215,-1,3,5,441
1230,-1,4,-2,445
1245,1,12,3,449
1260,1,-1,-3,453
1275,-1,6,-12,456
1290,1,-3,4,460
1305,-1,-1,-5,464
1320,1,-8,-5,468
1335,1,4,11,472
1350,-1,-8,-10,476
1365,-1,10,-7,480
1380,1,-8,-12,483
1395,1,-4,12,487
1410,-1,-9,0,491
1425,-1,-11,11,495
1440,-1,6,-9,499
1455,-1,3,2,503
1470,1,-11,4,507
1485,1,1,11,511
1500,1,2,5,514
1515,-1,12,12,518
1530,-1,-1,10,522
1545,1,4,3,526
1560,-1,-11,-9,530
1575,1,2,10,534
1590,-1,11,-6,538
1605,-1,5,1,542
1620,-1,5,-8,545
1635,-1,-8,-1,549
1650,1,-12,2,553
1665,-1,7,6,557
1680,-1,3,-5,561
1695,1,7,-5,565
1710,1,10,-11,569
1725,1,-9,1,572
1740,1,9,-10,576
1755,-1,-7,7,580
1770,1,-2,-5,584
1785,-1,12,-11,588
1800,-1,-8,8,592
1815,1,11,-11,596
1830,1,1,2,600
1845,1,-8,-8,603
1860,-1,0,9,607
1875,1,5,-11,611
1890,-1,10,3,615
1905,-1,-6,-10,619
1920,-1,-7,9,623
1935,-1,10,7,627
1950,-1,-5,4,630
1965,-1,-7,10,634
1980,-1,11,6,638
1995,-1,9,9,642
2010,-1,3,5,646
2025,1,3,9,650
2040,-1,-2,9,654
2055,1,1,-10,658
2070,-1,-3,2,661
2085,-1,-11,1,665
